Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 148, 0, 25.173, 25.173, 25.187, 0.014, 28, 25.187, 28.111, 2.924, 1407, 2, 28.111, 28.121, 0.01, 8,     2.948,
 143, 0, 23.852, 23.852, 23.91, 0.058, 100, 23.91, 28.367, 4.457, 1601, 2, 28.367, 28.395, 0.028, 56,     4.543,
 110, 0, 17.615, 17.615, 19.365, 1.751, 16, 19.365, 23.358, 3.992, 2091, 2, 23.358, 28.427, 5.07, 10130,    10.812,
 104, 0, 16.803, 16.803, 18.883, 2.08, 229, 18.883, 28.417, 9.534, 1137, 2, 28.417, 28.437, 0.02, 38,    11.634,
 158, 0, 27.361, 27.361, 27.371, 0.01, 27, 27.371, 28.347, 0.976, 1526, 2, 28.347, 28.475, 0.128, 255,     1.114,
 105, 0, 17.137, 17.137, 18.982, 1.845, 176, 18.982, 29.166, 10.183, 1275, 2, 29.166, 29.176, 0.01, 1,    12.039,
 147, 0, 24.43, 24.43, 24.812, 0.382, 764, 24.812, 29.385, 4.573, 1086, 2, 29.385, 29.385, 0, 14,     4.955,
 107, 0, 17.387, 17.387, 19.052, 1.665, 37, 19.052, 29.435, 10.382, 1835, 2, 29.435, 29.487, 0.052, 104,    12.099,
 162, 0, 29.104, 29.104, 29.117, 0.013, 26, 29.117, 29.842, 0.725, 2197, 2, 29.842, 29.852, 0.01, 9,     0.748,
 164, 0, 29.153, 29.153, 29.16, 0.006, 18, 29.16, 30.031, 0.871, 1247, 2, 30.031, 30.041, 0.01, 19,     0.888,
 165, 0, 29.257, 29.257, 29.27, 0.013, 26, 29.27, 30.109, 0.839, 1429, 2, 30.109, 30.128, 0.019, 38,     0.871,
 155, 0, 26.614, 26.614, 26.681, 0.068, 115, 26.681, 30.41, 3.728, 1702, 2, 30.41, 30.469, 0.059, 119,     3.856,
 169, 0, 29.716, 29.716, 29.716, 0, 3, 29.716, 30.641, 0.925, 1593, 2, 30.641, 30.671, 0.03, 51,     0.955,
 161, 0, 28.023, 28.023, 28.038, 0.015, 30, 28.038, 30.661, 2.623, 1962, 2, 30.661, 30.694, 0.034, 67,     2.671,
 114, 0, 18.286, 18.286, 19.624, 1.338, 42, 19.624, 30.702, 11.078, 1137, 2, 30.702, 30.813, 0.111, 238,    12.528,
 116, 0, 18.795, 18.795, 19.74, 0.945, 38, 19.74, 30.966, 11.226, 1633, 2, 30.966, 30.976, 0.01, 2,    12.181,
 108, 0, 17.488, 17.488, 19.297, 1.809, 467, 19.297, 29.947, 10.65, 1374, 2, 29.947, 31.151, 1.204, 2408,    13.662,
 167, 0, 29.493, 29.493, 29.504, 0.011, 22, 29.504, 31.16, 1.656, 975, 2, 31.16, 31.17, 0.01, 26,     1.677,
 172, 0, 30.427, 30.427, 30.493, 0.066, 147, 30.493, 31.241, 0.748, 1280, 2, 31.241, 31.251, 0.01, 18,     0.824,
 117, 0, 18.858, 18.858, 19.874, 1.016, 269, 19.874, 31.216, 11.341, 1470, 2, 31.216, 31.535, 0.319, 639,    12.677,
 152, 0, 26.18, 26.18, 26.307, 0.127, 262, 26.307, 27.418, 1.112, 1368, 2, 27.418, 31.667, 4.248, 8497,     5.486,
 171, 0, 30.198, 30.198, 30.481, 0.283, 548, 30.481, 31.676, 1.195, 1390, 2, 31.676, 31.686, 0.01, 39,     1.489,
 118, 0, 19.006, 19.006, 19.919, 0.913, 54, 19.919, 31.734, 11.815, 1448, 2, 31.734, 31.748, 0.014, 28,    12.742,
 175, 0, 30.961, 30.961, 30.986, 0.024, 49, 30.986, 31.708, 0.722, 1433, 2, 31.708, 31.941, 0.232, 465,     0.979,
 173, 0, 30.623, 30.623, 30.623, 0, 1, 30.623, 31.926, 1.303, 2120, 2, 31.926, 32.005, 0.079, 147,     1.382,
 122, 0, 19.991, 19.991, 20.044, 0.053, 8, 20.044, 31.995, 11.951, 1812, 2, 31.995, 32.015, 0.02, 35,    12.024,
 176, 0, 31.328, 31.328, 31.398, 0.07, 141, 31.398, 32.146, 0.748, 1267, 2, 32.146, 32.158, 0.012, 24,     0.830,
 72, 0, 12.287, 12.287, 20.839, 8.552, 17096, 20.839, 32.248, 11.409, 2102, 2, 32.248, 32.27, 0.022, 44,    19.983,
 178, 0, 31.547, 31.547, 31.571, 0.024, 48, 31.571, 32.425, 0.854, 1591, 2, 32.425, 32.435, 0.01, 1,     0.888,
 129, 0, 21.074, 21.074, 21.126, 0.052, 81, 21.126, 32.758, 11.633, 2158, 2, 32.758, 32.781, 0.023, 45,    11.707,
 182, 0, 31.881, 31.881, 31.891, 0.01, 17, 31.891, 32.87, 0.979, 1557, 2, 32.87, 32.88, 0.01, 13,     0.999,
 183, 0, 31.959, 31.959, 31.993, 0.034, 68, 31.993, 32.932, 0.939, 1591, 2, 32.932, 32.946, 0.014, 28,     0.987,
 157, 0, 27.216, 27.216, 27.289, 0.073, 159, 27.289, 32.966, 5.677, 1687, 2, 32.966, 33.003, 0.037, 74,     5.787,
 159, 0, 27.593, 27.593, 27.609, 0.016, 27, 27.609, 33.181, 5.572, 2121, 2, 33.181, 33.191, 0.01, 14,     5.598,
 184, 0, 32.195, 32.195, 32.254, 0.059, 119, 32.254, 33.215, 0.961, 2192, 2, 33.215, 33.233, 0.018, 36,     1.038,
 132, 0, 21.402, 21.402, 21.433, 0.031, 62, 21.433, 33.287, 11.854, 1609, 2, 33.287, 33.325, 0.038, 77,    11.924,
 163, 0, 29.148, 29.148, 29.16, 0.012, 32, 29.16, 33.786, 4.626, 921, 2, 33.786, 33.814, 0.029, 57,     4.666,
 190, 0, 33.005, 33.005, 33.015, 0.01, 1, 33.015, 33.856, 0.841, 1503, 2, 33.856, 33.866, 0.01, 3,     0.861,
 188, 0, 32.714, 32.714, 33.241, 0.526, 1037, 33.241, 33.945, 0.704, 1311, 2, 33.945, 34.021, 0.077, 153,     1.307,
 138, 0, 22.798, 22.798, 22.808, 0.01, 15, 22.808, 34.036, 11.228, 1313, 2, 34.036, 34.046, 0.01, 18,    11.248,
